,filename,spectral_centroid,spectral_bandwidth,spectral_rolloff,MFCC_0,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19
0,cv-valid-train/sample-000005.mp3,1826.6764874899109,1881.5130790031644,3860.16845703125,-576.31537,86.37545,11.824992,49.361706,-5.830145,-0.7148083,-14.1069565,-8.645005,-2.9191303,-14.076127,-14.48208,-13.578614,-6.720922,-6.1862874,-4.839533,-9.007957,-3.1139822,-1.7438706,-9.447196,-8.0651455
1,cv-valid-train/sample-000026.mp3,2616.617404846048,2179.8030588141246,4761.842523619186,-228.24037,82.80194,-8.383657,30.143246,17.329943,2.2322602,-19.801155,-6.005246,-7.7871127,5.1875887,-4.6225615,-2.331251,-6.204039,3.2511253,-17.747442,-0.5150652,-10.60597,-8.131491,-8.427092,3.234301
2,cv-valid-train/sample-000059.mp3,2631.9679415914493,2044.3620344422995,4626.430442116477,-356.87674,68.245125,-10.347807,12.065706,-8.409592,-3.1964073,-35.14761,-9.903251,-19.211166,-5.227669,-7.0544124,-6.0349708,-8.058039,-13.018083,-11.9383545,3.690609,-8.656282,2.0816848,-1.0773398,-10.969205
3,cv-valid-train/sample-000101.mp3,2102.6930657479393,1761.210243088748,3696.558837890625,-620.4143,95.13727,-1.2709259,22.470818,-12.410017,-14.128232,-0.7197162,-17.09085,-5.145642,0.5278885,-14.900973,-17.38193,-8.984969,-7.4504933,-7.7717032,-7.8961854,-9.588766,-11.281025,-8.105808,-1.1908352
4,cv-valid-train/sample-000155.mp3,2238.8377137700522,2250.816026074796,4440.932155299831,-383.8689,111.19048,9.153431,14.111599,11.028377,-8.014797,-10.864956,7.4888687,8.158554,5.7393484,-11.2785845,-4.4091797,-8.951644,-4.3523307,-16.304008,-1.1397492,-7.5548105,-5.6093717,-11.100672,0.7553694
5,cv-valid-train/sample-000196.mp3,2114.4326299186055,2113.037760417217,4016.5757123161766,-353.40027,107.95122,0.51827735,11.057066,2.0763268,6.227317,-5.1794972,-0.072483175,-7.6938996,-3.3863769,-14.798778,2.1146924,-13.908702,4.4806223,-3.9995368,-5.113033,-9.099203,-6.157195,-7.697456,-7.2963634
6,cv-valid-train/sample-000217.mp3,2361.5694143407413,2251.07044799414,5011.3916015625,-322.8721,96.191536,1.0718137,47.317696,5.5059414,-1.4221271,-1.2262174,-17.761742,-0.95808375,1.3745149,-21.646034,-9.307898,-1.8612918,6.5137506,-3.7321544,-1.6728611,-10.7352705,-0.918378,-8.988144,-4.1310587
7,cv-valid-train/sample-000236.mp3,2391.8293407372503,1809.2027454809497,4170.263671875,-327.68903,79.29955,2.6839461,27.969915,-40.812454,11.505382,-7.3858304,-7.1385503,-18.734367,5.4331727,-16.357756,-19.748789,3.1849365,-14.277808,4.6814065,-13.521871,-4.350755,-2.0944445,-3.776438,-5.392206
8,cv-valid-train/sample-000242.mp3,2562.8832034485945,2452.937444758656,5083.6944580078125,-415.80768,69.459946,-8.254126,1.5780869,-1.5403858,-13.726016,-11.413732,-0.665707,-7.6926365,-3.5003552,-7.1009116,-2.4162862,-4.110757,0.0029463996,-5.566462,-2.8636928,-6.0555544,0.12689252,-7.404105,-0.34567428
9,cv-valid-train/sample-000248.mp3,1291.3972803801066,1228.8672937801227,2248.88671875,-371.96774,121.77743,30.128717,-0.97155935,0.04921144,2.705938,-16.72873,-17.084167,-13.449827,-8.618924,-4.5814915,-7.9683623,-4.4303565,-1.7083833,-5.6707225,-6.036345,-5.0960083,-6.6713104,-7.0187097,-3.316108
10,cv-valid-train/sample-000305.mp3,3373.943127630266,2661.724036722994,6528.217128537736,-361.25247,40.103497,-7.9289336,11.88754,-5.657953,8.39652,-4.8099737,-1.9469432,-5.7116404,-11.275289,-2.9558256,0.7776665,-14.298212,-1.6837257,-8.463037,-10.435828,-12.58363,-2.711139,-10.253536,-1.9234488
11,cv-valid-train/sample-000350.mp3,1578.4593780268224,1303.5196887921231,2441.879983144264,-521.56744,84.096886,32.306053,12.136987,-5.657419,-15.810232,-23.646427,-7.0263286,-9.054086,-10.532671,-17.534782,-12.561908,-9.484758,-2.5973485,-9.86157,-7.965578,-4.896187,-1.1543361,-3.6873806,1.9504178
12,cv-valid-train/sample-000419.mp3,2329.5988701638244,2164.723338620433,4365.313165838068,-489.57907,99.57584,5.0543814,19.078968,-8.16623,-4.934334,-7.732049,-6.606768,-9.206771,-5.403651,-13.737549,-1.0193517,-11.202615,-0.3535472,-6.13335,-5.8013034,-8.494763,-4.447325,-9.508327,-4.7606378
13,cv-valid-train/sample-000420.mp3,2638.0939290338497,2096.096738034557,5160.0732421875,-365.88693,64.75774,7.282086,19.501574,-24.222023,15.226134,-28.059675,10.476723,-16.770212,-9.437587,-2.708479,-16.212252,3.554944,-10.814669,-1.1286098,-8.738657,-1.0704759,-2.7823403,-2.531809,-2.2095869
14,cv-valid-train/sample-000425.mp3,1345.2787696057194,1463.2887959836285,2241.3649514456774,-203.26476,165.04372,-17.89883,-3.6670926,0.7639898,-2.3209195,2.4026701,-2.51545,-7.0185456,0.9226177,-5.206274,-3.573805,-6.171966,-1.0266976,-2.3654325,0.49806997,-8.889119,-8.826998,-9.978432,-3.1089032
15,cv-valid-train/sample-000451.mp3,2030.6836906444182,1953.2394309608183,3706.2778093956954,-252.4688,106.99286,-14.022454,16.743921,-2.103085,8.313177,-2.2601185,-14.100625,4.8678737,8.083945,-3.1929336,1.4187309,-4.9363627,-3.3459706,-8.863095,5.0986032,-10.697582,1.821768,-4.0524635,9.630754
16,cv-valid-train/sample-000655.mp3,1313.9769362006525,1099.0164902191011,2236.649986131657,-586.34607,151.08786,-5.6335983,-23.068773,4.1626773,-11.600553,-33.19214,-19.012848,-3.2084787,-4.85909,-11.051471,-16.727224,-11.306987,-1.3621231,-0.564289,-7.7385383,-11.177919,-6.7487526,-5.850096,-10.029931
